Team,Season,Round
Atlanta Hawks,2019,Missed Playoffs
Boston Celtics,2019,Conference Semifinals
Brooklyn Nets,2019,Conference First Round
Charlotte Hornets,2019,Missed Playoffs
Chicago Bulls,2019,Missed Playoffs
Cleveland Cavaliers,2019,Missed Playoffs
Dallas Mavericks,2019,Missed Playoffs
Denver Nuggets,2019,Conference Semifinals
Detroit Pistons,2019,Conference First Round
Golden State Warriors,2019,Finals
Houston Rockets,2019,Conference Semifinals
Indiana Pacers,2019,Conference First Round
Los Angeles Clippers,2019,Conference First Round
Los Angeles Lakers,2019,Missed Playoffs
Memphis Grizzlies,2019,Missed Playoffs
Miami Heat,2019,Missed Playoffs
Milwaukee Bucks,2019,Conference Finals
Minnesota Timberwolves,2019,Missed Playoffs
New Orleans Pelicans,2019,Missed Playoffs
New York Knicks,2019,Missed Playoffs
Oklahoma City Thunder,2019,Conference First Round
Orlando Magic,2019,Conference First Round
Philadelphia 76ers,2019,Conference Semifinals
Phoenix Suns,2019,Missed Playoffs
Portland Trail Blazers,2019,Conference Finals
Sacramento Kings,2019,Missed Playoffs
San Antonio Spurs,2019,Conference First Round
Toronto Raptors,2019,Finals
Utah Jazz,2019,Conference First Round
Washington Wizards,2019,Missed Playoffs
Atlanta Hawks,2020,Missed Playoffs
Boston Celtics,2020,Conference Finals
Brooklyn Nets,2020,Conference First Round
Charlotte Hornets,2020,Missed Playoffs
Chicago Bulls,2020,Missed Playoffs
Cleveland Cavaliers,2020,Missed Playoffs
Dallas Mavericks,2020,Conference First Round
Denver Nuggets,2020,Conference Finals
Detroit Pistons,2020,Missed Playoffs
Golden State Warriors,2020,Missed Playoffs
Houston Rockets,2020,Conference Semifinals
Indiana Pacers,2020,Conference First Round
Los Angeles Clippers,2020,Conference Semifinals
Los Angeles Lakers,2020,Finals
Memphis Grizzlies,2020,Missed Playoffs
Miami Heat,2020,Finals
Milwaukee Bucks,2020,Conference Semifinals
Minnesota Timberwolves,2020,Missed Playoffs
New Orleans Pelicans,2020,Missed Playoffs
New York Knicks,2020,Missed Playoffs
Oklahoma City Thunder,2020,Conference First Round
Orlando Magic,2020,Conference First Round
Philadelphia 76ers,2020,Conference First Round
Phoenix Suns,2020,Missed Playoffs
Portland Trail Blazers,2020,Conference First Round
Sacramento Kings,2020,Missed Playoffs
San Antonio Spurs,2020,Missed Playoffs
Toronto Raptors,2020,Conference Semifinals
Utah Jazz,2020,Conference First Round
Washington Wizards,2020,Missed Playoffs
Atlanta Hawks,2021,Conference Finals
Boston Celtics,2021,Conference First Round
Brooklyn Nets,2021,Conference Semifinals
Charlotte Hornets,2021,Missed Playoffs
Chicago Bulls,2021,Missed Playoffs
Cleveland Cavaliers,2021,Missed Playoffs
Dallas Mavericks,2021,Conference First Round
Denver Nuggets,2021,Conference Semifinals
Detroit Pistons,2021,Missed Playoffs
Golden State Warriors,2021,Missed Playoffs
Houston Rockets,2021,Missed Playoffs
Indiana Pacers,2021,Missed Playoffs
Los Angeles Clippers,2021,Conference Finals
Los Angeles Lakers,2021,Conference First Round
Memphis Grizzlies,2021,Conference First Round
Miami Heat,2021,Conference First Round
Milwaukee Bucks,2021,Finals
Minnesota Timberwolves,2021,Missed Playoffs
New Orleans Pelicans,2021,Missed Playoffs
New York Knicks,2021,Conference First Round
Oklahoma City Thunder,2021,Missed Playoffs
Orlando Magic,2021,Missed Playoffs
Philadelphia 76ers,2021,Conference Semifinals
Phoenix Suns,2021,Finals
Portland Trail Blazers,2021,Conference First Round
Sacramento Kings,2021,Missed Playoffs
San Antonio Spurs,2021,Missed Playoffs
Toronto Raptors,2021,Missed Playoffs
Utah Jazz,2021,Conference Semifinals
Washington Wizards,2021,Conference First Round
Atlanta Hawks,2022,Conference First Round
Boston Celtics,2022,Finals
Brooklyn Nets,2022,Conference First Round
Charlotte Hornets,2022,Missed Playoffs
Chicago Bulls,2022,Conference First Round
Cleveland Cavaliers,2022,Missed Playoffs
Dallas Mavericks,2022,Conference Finals
Denver Nuggets,2022,Conference First Round
Detroit Pistons,2022,Missed Playoffs
Golden State Warriors,2022,Finals
